2021-07-28 14:19:27,107 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 96.5, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 7.4, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 26.7, 'sampling_depth': 4.2, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 42.3, 'sampling_count': 14.0, 'capicity': 7.0, 'totle_time': 9939, 'runtime': 422, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 25.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:20:27,344 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 96.0, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 3.7, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 23.1, 'sampling_depth': 2.2, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 48.3, 'sampling_count': 16.0, 'capicity': 8.0, 'totle_time': 9998, 'runtime': 483, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 29.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:21:27,453 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 95.5, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 6.9, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 48.1, 'sampling_depth': 4.6, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 54.3, 'sampling_count': 18.0, 'capicity': 9.0, 'totle_time': 10058, 'runtime': 543, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 22.0, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:22:28,267 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 95.0, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 0.5, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 3.5, 'sampling_depth': 1.1, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 60.4, 'sampling_count': 20.0, 'capicity': 10.1, 'totle_time': 10118, 'runtime': 604, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 23.5, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:23:28,502 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 94.5, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 0.6, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 62.2, 'sampling_depth': 0.4, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 66.4, 'sampling_count': 22.0, 'capicity': 11.1, 'totle_time': 10177, 'runtime': 664, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 22.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:24:29,053 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 94.0, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 2.5, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 44.4, 'sampling_depth': 2.6, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 72.5, 'sampling_count': 24.0, 'capicity': 12.1, 'totle_time': 10237, 'runtime': 724, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 22.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:25:29,896 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 93.5, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 9.3, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 26.8, 'sampling_depth': 3.6, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 78.5, 'sampling_count': 26.0, 'capicity': 13.1, 'totle_time': 10297, 'runtime': 785, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 30.5, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:26:30,618 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 92.9, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 8.4, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 86.7, 'sampling_depth': 3.9, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 84.6, 'sampling_count': 28.0, 'capicity': 14.1, 'totle_time': 10358, 'runtime': 846, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 19.8, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:27:31,005 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 92.4, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 4.4, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 28.3, 'sampling_depth': 4.4, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 90.6, 'sampling_count': 30.0, 'capicity': 15.1, 'totle_time': 10415, 'runtime': 906, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 20.2, 'home_lng_lat': [114.524096, 30.506853]}}
2021-07-28 14:28:31,121 data_manager.py[line:1378] INFO {'发送状态数据': {'dump_energy': 91.9, 'current_lng_lat': [114.523793, 30.505913], 'liquid_level': 0.7, 'b_leakage': False, 'direction': 180, 'speed': None, 'attitude_angle': None, 'b_online': True, 'b_homing': False, 'charge_energy': 86.7, 'sampling_depth': 3.1, 'ship_code': '3c50f4c3-a9c1-4872-9f18-883af014380c', 'pool_code': None, 'data_flow': 96.7, 'sampling_count': 32.0, 'capicity': 16.1, 'totle_time': 10474, 'runtime': 966, 'totle_distance': 2332.2, 'run_distance': 112.9, 'mapId': '1397858718729355265', 'ping': 22.8, 'home_lng_lat': [114.524096, 30.506853]}}
