2021-05-24 14:32:20,629 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '288.63 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -115.66, 'mapId': ''}}
2021-05-24 14:32:30,643 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '255.38 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.05, 'mapId': ''}}
2021-05-24 14:32:40,657 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '322.22 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.0, 'mapId': ''}}
2021-05-24 14:32:50,668 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '322.22 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.0, 'mapId': ''}}
2021-05-24 14:33:00,681 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '322.22 s 3630.7', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.0, 'mapId': ''}}
2021-05-24 14:33:10,695 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 107.3', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.0, 'mapId': ''}}
2021-05-24 14:33:16,816 data_manager.py[line:964] INFO {'全部距离': 2596.1701337134714}
2021-05-24 14:33:20,708 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '322.22 s 107.3', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.0, 'mapId': ''}}
2021-05-24 14:33:30,735 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '322.22 s 107.3', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.0, 'mapId': '1354291518018142209'}}
2021-05-24 14:33:40,767 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '322.22 s 107.3', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.0, 'mapId': '1354291518018142209'}}
2021-05-24 14:33:50,795 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '322.22 s 107.3', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.0, 'mapId': ''}}
2021-05-24 14:34:00,807 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '322.22 s 107.3', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.0, 'mapId': '1354291518018142209'}}
2021-05-24 14:34:10,843 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '322.22 s 107.3', 'path_info': '当前目标点:0 目标点总数: 38', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.0, 'mapId': '1354291518018142209'}}
2021-05-24 14:34:11,776 data_manager.py[line:1040] ERROR {'error': ZeroDivisionError('float division by zero')}
2021-05-24 14:34:20,860 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 107.3', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.0, 'mapId': ''}}
2021-05-24 14:34:26,934 data_manager.py[line:939] INFO {'点击地点': [[114.524101, 30.506903], [114.525696, 30.506446], [114.524102, 30.506446], [114.52357, 30.506445], [114.52304, 30.506447], [114.522507, 30.506446], [114.522508, 30.505989], [114.523039, 30.505988], [114.52357, 30.505987], [114.524102, 30.505987], [114.524634, 30.505988], [114.525697, 30.505988], [114.526229, 30.505988], [114.525697, 30.50553], [114.525165, 30.50553], [114.524634, 30.50553], [114.524102, 30.50553], [114.523571, 30.50553], [114.523039, 30.505529], [114.522508, 30.50553], [114.523039, 30.50507], [114.523571, 30.505071], [114.524102, 30.505072], [114.524634, 30.505072], [114.525166, 30.505072], [114.525697, 30.505071], [114.525166, 30.504614], [114.524634, 30.504614], [114.524102, 30.504614], [114.523571, 30.504614], [114.524103, 30.504155], [114.524635, 30.504155], [114.525166, 30.504155]]}
2021-05-24 14:34:30,872 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 107.3', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.0, 'mapId': ''}}
2021-05-24 14:34:33,972 data_manager.py[line:964] INFO {'全部距离': 2287.2218341633966}
2021-05-24 14:34:40,884 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '140.1 s 107.3', 'path_info': '当前目标点:0 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.01, 'mapId': ''}}
2021-05-24 14:34:50,896 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '91.88 s 107.3', 'path_info': '当前目标点:1 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.05, 'mapId': ''}}
2021-05-24 14:35:00,909 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '66.97 s 107.3', 'path_info': '当前目标点:2 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.02, 'mapId': ''}}
2021-05-24 14:35:10,922 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '34.66 s 107.3', 'path_info': '当前目标点:6 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -12.15, 'mapId': ''}}
2021-05-24 14:35:20,935 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '26.25 s 107.3', 'path_info': '当前目标点:10 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0.22, 'mapId': ''}}
2021-05-24 14:35:30,945 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '49.64 s 107.3', 'path_info': '当前目标点:13 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 44.74, 'mapId': ''}}
2021-05-24 14:35:40,958 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '11.78 s 107.3', 'path_info': '当前目标点:17 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.0, 'mapId': ''}}
2021-05-24 14:35:50,972 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '51.64 s 107.3', 'path_info': '当前目标点:21 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 35.58, 'mapId': ''}}
2021-05-24 14:36:00,983 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '71.88 s 107.3', 'path_info': '当前目标点:26 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -133.3, 'mapId': ''}}
2021-05-24 14:36:10,996 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '43.69 s 107.3', 'path_info': '当前目标点:29 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.25, 'mapId': ''}}
2021-05-24 14:36:20,008 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '1.92 s 107.3', 'path_info': '当前目标点:31 目标点总数: 33', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.08, 'mapId': ''}}
2021-05-24 14:36:30,020 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 95.3', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.0, 'mapId': ''}}
2021-05-24 14:36:32,856 data_manager.py[line:1226] INFO {'base_setting': {'speed_grade': 3, 'arrive_range': 2.5, 'keep_point': 5, 'secure_distance': 15, 'row': 50, 'col': 50, 'pool_name': '梁子湖', 'video_url': 'http://123.32132.321321.213', 'info_type': 3}}
2021-05-24 14:36:40,031 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 95.3', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.0, 'mapId': ''}}
2021-05-24 14:36:50,044 data_manager.py[line:1368] INFO {'notice_info_': {'distance': '0 s 95.3', 'path_info': '当前目标点:0 目标点总数: 0', 'control_info': '', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': -0.0, 'mapId': ''}}
