2022-06-09 14:31:07,593 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524369, 30.505821]', 'gjwd': '[114.524354, 30.505839]', 'planId': '1534784829970685954'}}
2022-06-09 14:53:08,500 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'capacity': '-1', 'deep': '-1', 'bottleNum': '-1', 'jwd': '[114.524058, 30.506174]', 'gjwd': '[114.524058, 30.506174]', 'planId': '1534790542650482690'}}
2022-06-09 14:53:29,320 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.524176, 30.505967]', 'gjwd': '[114.524166, 30.505979]', 'planId': '1534790542650482690'}}
2022-06-09 14:53:49,150 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 2, 'deep': 0.2, 'capacity': 500, 'jwd': '[114.524354, 30.505838]', 'gjwd': '[114.52435, 30.505842]', 'planId': '1534790542650482690'}}
2022-06-09 14:56:20,800 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'capacity': '-1', 'deep': '-1', 'bottleNum': '-1', 'jwd': '[114.524068, 30.506149]', 'gjwd': '[114.524061, 30.506164]', 'planId': '1534791357243039745'}}
2022-06-09 14:56:40,209 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524177, 30.505966]', 'gjwd': '[114.524177, 30.505966]', 'planId': '1534791357243039745'}}
2022-06-09 14:57:00,384 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 3, 'deep': 0.3, 'capacity': 500, 'jwd': '[114.524374, 30.505813]', 'gjwd': '[114.524364, 30.505828]', 'planId': '1534791357243039745'}}
2022-06-09 14:57:20,109 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 4, 'deep': 0.4, 'capacity': 500, 'jwd': '[114.524456, 30.505676]', 'gjwd': '[114.524456, 30.505676]', 'planId': '1534791357243039745'}}
2022-06-09 14:59:31,646 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 4, 'deep': 0.4, 'capacity': 500, 'jwd': '[114.524456, 30.505676]', 'gjwd': '[114.524456, 30.505676]', 'planId': ''}}
2022-06-09 15:00:17,951 data_manager.py[line:2362] INFO {'发送采样数据成功': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'mapId': '1532304253270601729', 'bottleNum': 1, 'deep': 0.1, 'capacity': 500, 'jwd': '[114.524072, 30.506141]', 'gjwd': '[114.524062, 30.506161]', 'planId': '1534792313787621378'}}
